#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row,L min,L max,Firms in absolute numbers,Workers per class in absolute numbers
4,Mining and quarrying,Int,From 10 to 19 persons employed,7.533109254793591e-05,1.0,0.0,10,19,1563.200849969789,23448.012749546833
4,Mining and quarrying,Int,From 20 to 49 persons employed,5.107342223097762e-05,1.0,0.0,20,49,1059.828210927995,37093.98738247982
4,Mining and quarrying,Int,From 50 to 249 persons employed,1.9712047528691032e-05,1.0,0.0,50,249,409.0460978232421,61356.91467348632
4,Mining and quarrying,Int,250 persons employed or more,9.864050847977673e-06,1.0,0.0,250,2000,204.68961949399488,204689.61949399486
5,"Food, beverages and tobacco products",C,From 0 to 9 persons employed,0.0023786707253764727,0.1149449637505493,1.0,0,9,49359.96510790868,246799.82553954344
5,"Food, beverages and tobacco products",C,From 10 to 19 persons employed,0.000453993606187445,0.1149449637505493,1.0,10,19,9420.853555541711,141312.80333312566
5,"Food, beverages and tobacco products",C,From 20 to 49 persons employed,0.0002866458080982237,0.1149449637505493,1.0,20,49,5948.207515698615,208187.2630494515
5,"Food, beverages and tobacco products",C,From 50 to 249 persons employed,0.0001385665217397804,0.1149449637505493,1.0,50,249,2875.4037308452266,431310.559626784
5,"Food, beverages and tobacco products",C,250 persons employed or more,4.6403623249873764e-05,0.1149449637505493,1.0,250,2000,962.9248807153813,962924.8807153816
5,"Food, beverages and tobacco products",I,From 0 to 9 persons employed,1.8850781043716037e-09,0.1149449637505493,1.0,0,9,0.03911738958436056,0.1955869479218028
5,"Food, beverages and tobacco products",I,From 10 to 19 persons employed,3.5978641239350494e-10,0.1149449637505493,1.0,10,19,0.007465953388412901,0.11198930082619352
5,"Food, beverages and tobacco products",I,From 20 to 49 persons employed,2.2716458011242587e-10,0.1149449637505493,1.0,20,49,0.004713908330598138,0.1649867915709348
5,"Food, beverages and tobacco products",I,From 50 to 249 persons employed,1.098128939596086e-10,0.1149449637505493,1.0,50,249,0.0022787351592713093,0.34181027389069635
5,"Food, beverages and tobacco products",I,250 persons employed or more,3.6774511586929085e-11,0.1149449637505493,1.0,250,2000,0.0007631105009306881,0.7631105009306883
5,"Food, beverages and tobacco products",Int,From 0 to 9 persons employed,0.0017425148227342294,0.1149449637505493,1.0,0,9,36159.04880511041,180795.24402555206
5,"Food, beverages and tobacco products",Int,From 10 to 19 persons employed,0.0003325767538014255,0.1149449637505493,1.0,10,19,6901.3238310829,103519.85746624351
5,"Food, beverages and tobacco products",Int,From 20 to 49 persons employed,0.00020998474658855216,0.1149449637505493,1.0,20,49,4357.408385376054,152509.29348816187
5,"Food, beverages and tobacco products",Int,From 50 to 249 persons employed,0.00010150804627575226,0.1149449637505493,1.0,50,249,2106.400675339421,315960.1013009131
5,"Food, beverages and tobacco products",Int,250 persons employed or more,3.399335623835964e-05,0.1149449637505493,1.0,250,2000,705.3985488304937,705398.548830494
6,"Textiles, wearing apparel, leather and related products",C,From 0 to 9 persons employed,0.0006261318771500091,0.03094387162144041,1.0,0,9,12992.907038103118,64964.5351905156
6,"Textiles, wearing apparel, leather and related products",C,From 10 to 19 persons employed,0.00011950366472486735,0.03094387162144041,1.0,10,19,2479.829031465918,37197.43547198876
6,"Textiles, wearing apparel, leather and related products",C,From 20 to 49 persons employed,7.545309907209459e-05,0.03094387162144041,1.0,20,49,1565.732616015069,54800.64156052741
6,"Textiles, wearing apparel, leather and related products",C,From 50 to 249 persons employed,3.6474538254278385e-05,0.03094387162144041,1.0,50,249,756.8857330067468,113532.85995101203
6,"Textiles, wearing apparel, leather and related products",C,250 persons employed or more,1.2214716153034075e-05,0.03094387162144041,1.0,250,2000,253.46844213645696,253468.44213645693
6,"Textiles, wearing apparel, leather and related products",I,From 0 to 9 persons employed,6.277669825948331e-06,0.03094387162144041,1.0,0,9,130.26837227281146,651.3418613640573
6,"Textiles, wearing apparel, leather and related products",I,From 10 to 19 persons employed,1.1981574130170203e-06,0.03094387162144041,1.0,10,19,24.863049546692512,372.9457432003877
6,"Textiles, wearing apparel, leather and related products",I,From 20 to 49 persons employed,7.565014026680774e-07,0.03094387162144041,1.0,20,49,15.698214318364863,549.4375011427702
6,"Textiles, wearing apparel, leather and related products",I,From 50 to 249 persons employed,3.656978930006202e-07,0.03094387162144041,1.0,50,249,7.588622942206273,1138.293441330941
6,"Textiles, wearing apparel, leather and related products",I,250 persons employed or more,1.2246614143885003e-07,0.03094387162144041,1.0,250,2000,2.5413035960936194,2541.303596093619
6,"Textiles, wearing apparel, leather and related products",Int,From 0 to 9 persons employed,0.0004770387550587502,0.03094387162144041,1.0,0,9,9899.065075975735,49495.32537987868
6,"Textiles, wearing apparel, leather and related products",Int,From 10 to 19 persons employed,9.104771937949266e-05,0.03094387162144041,1.0,10,19,1889.3376892319282,28340.065338478922
6,"Textiles, wearing apparel, leather and related products",Int,From 20 to 49 persons employed,5.748637589019136e-05,0.03094387162144041,1.0,20,49,1192.903867630049,41751.63536705171
6,"Textiles, wearing apparel, leather and related products",Int,From 50 to 249 persons employed,2.7789302789314896e-05,0.03094387162144041,1.0,50,249,576.6577952215714,86498.66928323571
6,"Textiles, wearing apparel, leather and related products",Int,250 persons employed or more,9.306175263846805e-06,0.03094387162144041,1.0,250,2000,193.11310363852877,193113.10363852876
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 0 to 9 persons employed,5.2960048590974236e-05,0.022094849345970554,1.0,0,9,1098.9777284747563,5494.888642373781
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 10 to 19 persons employed,1.0107966263331104e-05,0.022094849345970554,1.0,10,19,209.75112559598844,3146.2668839398266
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 20 to 49 persons employed,6.382041769517442e-06,0.022094849345970554,1.0,20,49,132.43420188422206,4635.197065947772
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 50 to 249 persons employed,3.0851221424350755e-06,0.022094849345970554,1.0,50,249,64.01958862134236,9602.938293201352
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,250 persons employed or more,1.033156088353348e-06,0.022094849345970554,1.0,250,2000,21.439095343502597,21439.09534350259
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 0 to 9 persons employed,4.485709799324316e-05,0.022094849345970554,1.0,0,9,930.8328253117463,4654.164126558731
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 10 to 19 persons employed,8.561435369678131e-06,0.022094849345970554,1.0,10,19,177.65895321810214,2664.884298271532
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 20 to 49 persons employed,5.4055817671776906e-06,0.022094849345970554,1.0,20,49,112.17161104700973,3926.0063866453397
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 50 to 249 persons employed,2.6130947751418727e-06,0.022094849345970554,1.0,50,249,54.22451520869804,8133.677281304704
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,250 persons employed or more,8.750819746317264e-07,0.022094849345970554,1.0,250,2000,18.158888186403153,18158.88818640315
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 0 to 9 persons employed,0.0006943621059180797,0.022094849345970554,1.0,0,9,14408.75735961559,72043.78679807796
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 10 to 19 persons employed,0.00013252610086070875,0.022094849345970554,1.0,10,19,2750.0585283137284,41250.87792470593
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 20 to 49 persons employed,8.367530017513074e-05,0.022094849345970554,1.0,20,49,1736.3520948804503,60772.323320815754
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 50 to 249 persons employed,4.044920586044934e-05,0.022094849345970554,1.0,50,249,839.3643427038003,125904.65140557004
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,250 persons employed or more,1.3545766220716366e-05,0.022094849345970554,1.0,250,2000,281.089156595487,281089.156595487
8,Paper and paper products,C,From 0 to 9 persons employed,0.000131629667088848,0.02274178639357408,1.0,0,9,2731.456567467048,13657.282837335242
8,Paper and paper products,C,From 10 to 19 persons employed,2.5122866568032817e-05,0.02274178639357408,1.0,10,19,521.3263878767754,7819.895818151629
8,Paper and paper products,C,From 20 to 49 persons employed,1.5862259492183934e-05,0.02274178639357408,1.0,20,49,329.1588729427327,11520.560552995648
8,Paper and paper products,C,From 50 to 249 persons employed,7.667923488392934e-06,0.02274178639357408,1.0,50,249,159.11762473020946,23867.643709531418
8,Paper and paper products,C,250 persons employed or more,2.5678600299461296e-06,0.02274178639357408,1.0,250,2000,53.28584579947426,53285.84579947427
8,Paper and paper products,I,From 0 to 9 persons employed,2.2212480958434317e-09,0.02274178639357408,1.0,0,9,0.04609327694546186,0.23046638472730932
8,Paper and paper products,I,From 10 to 19 persons employed,4.239478892604399e-10,0.02274178639357408,1.0,10,19,0.008797372750343526,0.1319605912551529
8,Paper and paper products,I,From 20 to 49 persons employed,2.676753232917131e-10,0.02274178639357408,1.0,20,49,0.005554549638574293,0.19440923735010024
8,Paper and paper products,I,From 50 to 249 persons employed,1.2939606111872447e-10,0.02274178639357408,1.0,50,249,0.002685106851394991,0.4027660277092486
8,Paper and paper products,I,250 persons employed or more,4.333258852702472e-11,0.02274178639357408,1.0,250,2000,0.0008991976211380753,0.8991976211380754
8,Paper and paper products,Int,From 0 to 9 persons employed,0.0006837423676144292,0.02274178639357408,1.0,0,9,14188.386416075122,70941.93208037561
8,Paper and paper products,Int,From 10 to 19 persons employed,0.00013049921532425936,0.02274178639357408,1.0,10,19,2707.998482637994,40619.977239569904
8,Paper and paper products,Int,From 20 to 49 persons employed,8.239555034033183e-05,0.02274178639357408,1.0,20,49,1709.7959151963,59842.8570318705
8,Paper and paper products,Int,From 50 to 249 persons employed,3.983056613750464e-05,0.02274178639357408,1.0,50,249,826.5269058895547,123979.03588343319
8,Paper and paper products,Int,250 persons employed or more,1.333859406780022e-05,0.02274178639357408,1.0,250,2000,276.79011254110117,276790.11254110123
9,Printing and recording services,C,From 0 to 9 persons employed,3.531847417612698e-05,0.012872445724610548,1.0,0,9,732.8961652404776,3664.480826202387
9,Printing and recording services,C,From 10 to 19 persons employed,6.740891576626386e-06,0.012872445724610548,1.0,10,19,139.88071970987608,2098.2107956481414
9,Printing and recording services,C,From 20 to 49 persons employed,4.256113493560507e-06,0.012872445724610548,1.0,20,49,88.31891328893211,3091.161965112624
9,Printing and recording services,C,From 50 to 249 persons employed,2.0574340397482315e-06,0.012872445724610548,1.0,50,249,42.693959836632374,6404.093975494856
9,Printing and recording services,C,250 persons employed or more,6.890004370697432e-07,0.012872445724610548,1.0,250,2000,14.297496988665273,14297.49698866527
9,Printing and recording services,I,From 0 to 9 persons employed,3.912575874140298e-08,0.012872445724610548,1.0,0,9,0.8119013975717239,4.059506987858619
9,Printing and recording services,I,From 10 to 19 persons employed,7.467550727525838e-09,0.012872445724610548,1.0,10,19,0.15495967534299032,2.324395130144855
9,Printing and recording services,I,From 20 to 49 persons employed,4.714916870266085e-09,0.012872445724610548,1.0,20,49,0.09783957473398931,3.424385115689626
9,Printing and recording services,I,From 50 to 249 persons employed,2.2792226941658583e-09,0.012872445724610548,1.0,50,249,0.04729631195144701,7.094446792717052
9,Printing and recording services,I,250 persons employed or more,7.632737682573397e-10,0.012872445724610548,1.0,250,2000,0.0158387481575456,15.838748157545602
9,Printing and recording services,Int,From 0 to 9 persons employed,0.00042616554839372864,0.012872445724610548,1.0,0,9,8843.3915524722,44216.95776236099
9,Printing and recording services,Int,From 10 to 19 persons employed,8.133804821493207e-05,0.012872445724610548,1.0,10,19,1687.8516135094787,25317.77420264218
9,Printing and recording services,Int,From 20 to 49 persons employed,5.135581259722652e-05,0.012872445724610548,1.0,20,49,1065.688113467742,37299.083971370965
9,Printing and recording services,Int,From 50 to 249 persons employed,2.4825747042772735e-05,0.012872445724610548,1.0,50,249,515.160839512617,77274.12592689256
9,Printing and recording services,Int,250 persons employed or more,8.313729739373046e-06,0.012872445724610548,1.0,250,2000,172.51879609654156,172518.79609654157
10,Coke and refined petroleum products,C,From 0 to 9 persons employed,0.00015619853996669738,0.013504031591214912,1.0,0,9,3241.286992945275,16206.434964726375
10,Coke and refined petroleum products,C,From 10 to 19 persons employed,2.981208692912773e-05,0.013504031591214912,1.0,10,19,618.6327325245015,9279.49098786752
10,Coke and refined petroleum products,C,From 20 to 49 persons employed,1.8822973787357777e-05,0.013504031591214912,1.0,20,49,390.59686549260016,13670.890292241005
10,Coke and refined petroleum products,C,From 50 to 249 persons employed,9.09915279702774e-06,0.013504031591214912,1.0,50,249,188.81716573097123,28322.574859645683
10,Coke and refined petroleum products,C,250 persons employed or more,3.0471549186984705e-06,0.013504031591214912,1.0,250,2000,63.23172806591119,63231.72806591119
10,Coke and refined petroleum products,I,From 0 to 9 persons employed,0.0,0.013504031591214912,1.0,0,9,0.0,0.0
10,Coke and refined petroleum products,I,From 10 to 19 persons employed,0.0,0.013504031591214912,1.0,10,19,0.0,0.0
10,Coke and refined petroleum products,I,From 20 to 49 persons employed,0.0,0.013504031591214912,1.0,20,49,0.0,0.0
10,Coke and refined petroleum products,I,From 50 to 249 persons employed,0.0,0.013504031591214912,1.0,50,249,0.0,0.0
10,Coke and refined petroleum products,I,250 persons employed or more,0.0,0.013504031591214912,1.0,250,2000,0.0,0.0
10,Coke and refined petroleum products,Int,From 0 to 9 persons employed,0.00032796921715118316,0.013504031591214912,1.0,0,9,6805.712510918619,34028.5625545931
10,Coke and refined petroleum products,Int,From 10 to 19 persons employed,6.259627531648927e-05,0.013504031591214912,1.0,10,19,1298.9397534280165,19484.096301420243
10,Coke and refined petroleum products,Int,From 20 to 49 persons employed,3.952249476091886e-05,0.013504031591214912,1.0,20,49,820.1340948809552,28704.69332083343
10,Coke and refined petroleum products,Int,From 50 to 249 persons employed,1.910544119180914e-05,0.013504031591214912,1.0,50,249,396.4583666575561,59468.75499863341
10,Coke and refined petroleum products,Int,250 persons employed or more,6.398094460018563e-06,0.013504031591214912,1.0,250,2000,132.76731240455186,132767.3124045519
11,Chemicals and chemical products,C,From 0 to 9 persons employed,0.00023288092479973577,0.06356067823033243,1.0,0,9,4832.5286050649775,24162.643025324887
11,Chemicals and chemical products,C,From 10 to 19 persons employed,4.444770338919689e-05,0.06356067823033243,1.0,10,19,922.3374488161652,13835.061732242479
11,Chemicals and chemical products,C,From 20 to 49 persons employed,2.8063716498346655e-05,0.06356067823033243,1.0,20,49,582.3521735810629,20382.3260753372
11,Chemicals and chemical products,C,From 50 to 249 persons employed,1.3566190303172565e-05,0.06356067823033243,1.0,50,249,281.5129781806454,42226.946727096816
11,Chemicals and chemical products,C,250 persons employed or more,4.543091475924553e-06,0.06356067823033243,1.0,250,2000,94.27401377640518,94274.01377640519
11,Chemicals and chemical products,I,From 0 to 9 persons employed,1.5676284645608988e-07,0.06356067823033243,1.0,0,9,3.2529969569724195,16.264984784862097
11,Chemicals and chemical products,I,From 10 to 19 persons employed,2.991979058704942e-08,0.06356067823033243,1.0,10,19,0.6208676987769941,9.313015481654913
11,Chemicals and chemical products,I,From 20 to 49 persons employed,1.88909765117119e-08,0.06356067823033243,1.0,20,49,0.39200799485386595,13.72027981988531
11,Chemicals and chemical products,I,From 50 to 249 persons employed,9.132025773768953e-09,0.06356067823033243,1.0,50,249,0.1894993152053095,28.424897280796422
11,Chemicals and chemical products,I,250 persons employed or more,3.0581635318082502e-09,0.06356067823033243,1.0,250,2000,0.06346016857816376,63.46016857816376
11,Chemicals and chemical products,Int,From 0 to 9 persons employed,0.0020458396099818353,0.06356067823033243,1.0,0,9,42453.36300134537,212266.81500672686
11,Chemicals and chemical products,Int,From 10 to 19 persons employed,0.00039046938792664063,0.06356067823033243,1.0,10,19,8102.657992192262,121539.86988288393
11,Chemicals and chemical products,Int,From 20 to 49 persons employed,0.00024653742192492123,0.06356067823033243,1.0,20,49,5115.915546520997,179057.04412823493
11,Chemicals and chemical products,Int,From 50 to 249 persons employed,0.00011917785667782356,0.06356067823033243,1.0,50,249,2473.068165549341,370960.22483240115
11,Chemicals and chemical products,Int,250 persons employed or more,3.991068182681759e-05,0.06356067823033243,1.0,250,2000,828.1893922467015,828189.3922467016
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 0 to 9 persons employed,0.00040294176238273727,0.03273716299284782,1.0,0,9,8361.47312006931,41807.365600346544
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 10 to 19 persons employed,7.690555142251168e-05,0.03273716299284782,1.0,10,19,1595.8725578626909,23938.08836794036
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 20 to 49 persons employed,4.8557190309071334e-05,0.03273716299284782,1.0,20,49,1007.6137036640512,35266.47962824179
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 50 to 249 persons employed,2.347287410628729e-05,0.03273716299284782,1.0,50,249,487.0872771536291,73063.09157304435
12,Basic pharmaceutical products and pharmaceutical preparations,C,250 persons employed or more,7.860675096293276e-06,0.03273716299284782,1.0,250,2000,163.1174270311136,163117.42703111362
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 0 to 9 persons employed,2.4348291052436188e-09,0.03273716299284782,1.0,0,9,0.0505253116357768,0.25262655817888396
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 10 to 19 persons employed,4.6471200664595943e-10,0.03273716299284782,1.0,10,19,0.009643271844462776,0.14464907766694163
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 20 to 49 persons employed,2.934132702806816e-10,0.03273716299284782,1.0,20,49,0.006088639603936614,0.2131023861377815
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 50 to 249 persons employed,1.4183795871578314e-10,0.03273716299284782,1.0,50,249,0.0029432895518062847,0.4414934327709426
12,Basic pharmaceutical products and pharmaceutical preparations,I,250 persons employed or more,4.749917307687469e-11,0.03273716299284782,1.0,250,2000,0.0009856587129595151,0.9856587129595152
12,Basic pharmaceutical products and pharmaceutical preparations,Int,From 0 to 9 persons employed,0.0007708000045538774,0.03273716299284782,1.0,0,9,15994.925621297834,79974.62810648915
12,Basic pharmaceutical products and pharmaceutical preparations,Int,From 10 to 19 persons employed,0.00014711505463259488,0.03273716299284782,1.0,10,19,3052.7949438498554,45791.924157747824
12,Basic pharmaceutical products and pharmaceutical preparations,Int,From 20 to 49 persons employed,9.288658065629971e-05,0.03273716299284782,1.0,20,49,1927.496030146102,67462.36105511356
12,Basic pharmaceutical products and pharmaceutical preparations,Int,From 50 to 249 persons employed,4.4902001125495555e-05,0.03273716299284782,1.0,50,249,931.7646133972381,139764.6920095857
12,Basic pharmaceutical products and pharmaceutical preparations,Int,250 persons employed or more,1.503693328830039e-05,0.03273716299284782,1.0,250,2000,312.03247028778486,312032.4702877849
13,Rubber and plastic products,C,From 0 to 9 persons employed,0.00016523446681996812,0.051463025750899116,1.0,0,9,3428.7921526283026,17143.960763141513
13,Rubber and plastic products,C,From 10 to 19 persons employed,3.153668587155306e-05,0.051463025750899116,1.0,10,19,654.4200076252944,9816.300114379414
13,Rubber and plastic products,C,From 20 to 49 persons employed,1.991186369849178e-05,0.051463025750899116,1.0,20,49,413.19249734972556,14461.737407240393
13,Rubber and plastic products,C,From 50 to 249 persons employed,9.625529542407091e-06,0.051463025750899116,1.0,50,249,199.74004694708705,29961.007042063055
13,Rubber and plastic products,C,250 persons employed or more,3.2234297351072148e-06,0.051463025750899116,1.0,250,2000,66.88961929672101,66889.61929672101
13,Rubber and plastic products,I,From 0 to 9 persons employed,2.1795137431495184e-05,0.051463025750899116,1.0,0,9,452.2724442957142,2261.362221478571
13,Rubber and plastic products,I,From 10 to 19 persons employed,4.1598246173015e-06,0.051463025750899116,1.0,10,19,86.32081598117125,1294.8122397175687
13,Rubber and plastic products,I,From 20 to 49 persons employed,2.626460533192962e-06,0.051463025750899116,1.0,20,49,54.50186900298502,1907.5654151044753
13,Rubber and plastic products,I,From 50 to 249 persons employed,1.2696487800953581e-06,0.051463025750899116,1.0,50,249,26.346571980822162,3951.985797123324
13,Rubber and plastic products,I,250 persons employed or more,4.251842574344769e-07,0.051463025750899116,1.0,250,2000,8.823028714105108,8823.028714105107
13,Rubber and plastic products,Int,From 0 to 9 persons employed,0.0016581036497704106,0.051463025750899116,1.0,0,9,34407.42656174493,172037.13280872462
13,Rubber and plastic products,Int,From 10 to 19 persons employed,0.00031646601917661066,0.051463025750899116,1.0,10,19,6567.008833021209,98505.13249531813
13,Rubber and plastic products,Int,From 20 to 49 persons employed,0.00019981263296702382,0.051463025750899116,1.0,20,49,4146.326133395652,145121.4146688478
13,Rubber and plastic products,Int,From 50 to 249 persons employed,9.659077777415245e-05,0.051463025750899116,1.0,50,249,2004.3620875366594,300654.3131304989
13,Rubber and plastic products,Int,250 persons employed or more,3.234664480978517e-05,0.051463025750899116,1.0,250,2000,671.2275230596335,671227.5230596334
14,Other non-metallic mineral products,C,From 0 to 9 persons employed,9.619520020836133e-05,0.03620832672900528,1.0,0,9,1996.1534293829209,9980.767146914603
14,Other non-metallic mineral products,C,From 10 to 19 persons employed,1.8359836598907675e-05,0.03620832672900528,1.0,10,19,380.98627281233166,5714.794092184975
14,Other non-metallic mineral products,C,From 20 to 49 persons employed,1.1592168098227222e-05,0.03620832672900528,1.0,20,49,240.54990325024806,8419.246613758682
14,Other non-metallic mineral products,C,From 50 to 249 persons employed,5.603732437084069e-06,0.03620832672900528,1.0,50,249,116.28344966693454,17442.51745004018
14,Other non-metallic mineral products,C,250 persons employed or more,1.8765967820991665e-06,0.03620832672900528,1.0,250,2000,38.94139306371133,38941.39306371134
14,Other non-metallic mineral products,I,From 0 to 9 persons employed,3.798541281390568e-05,0.03620832672900528,1.0,0,9,788.2379982656666,3941.189991328333
14,Other non-metallic mineral products,I,From 10 to 19 persons employed,7.249904058568021e-06,0.03620832672900528,1.0,10,19,150.44327386253318,2256.6491079379975
14,Other non-metallic mineral products,I,From 20 to 49 persons employed,4.5774975223875564e-06,0.03620832672900528,1.0,20,49,94.98797608938827,3324.579163128589
14,Other non-metallic mineral products,I,From 50 to 249 persons employed,2.2127932522646824e-06,0.03620832672900528,1.0,50,249,45.917829886065334,6887.6744829098
14,Other non-metallic mineral products,I,250 persons employed or more,7.41027653135316e-07,0.03620832672900528,1.0,250,2000,15.377117443174315,15377.117443174315
14,Other non-metallic mineral products,Int,From 0 to 9 persons employed,0.0011640172046412129,0.03620832672900528,1.0,0,9,24154.60365873134,120773.01829365669
14,Other non-metallic mineral products,Int,From 10 to 19 persons employed,0.00022216457400410248,0.03620832672900528,1.0,10,19,4610.152848843884,69152.29273265827
14,Other non-metallic mineral products,Int,From 20 to 49 persons employed,0.00014027189585553393,0.03620832672900528,1.0,20,49,2910.7920702027905,101877.72245709765
14,Other non-metallic mineral products,Int,From 50 to 249 persons employed,6.78083828802606e-05,0.03620832672900528,1.0,50,249,1407.0965675434722,211064.4851315208
14,Other non-metallic mineral products,Int,250 persons employed or more,2.2707899518960604e-05,0.03620832672900528,1.0,250,2000,471.21323517881734,471213.23517881735
15,Basic metals,C,From 0 to 9 persons employed,1.7278860004915119e-06,0.04270418092187881,1.0,0,9,35.855485076105396,179.277425380527
15,Basic metals,C,From 10 to 19 persons employed,3.2978469364219715e-07,0.04270418092187881,1.0,10,19,6.843385592482481,102.65078388723721
15,Basic metals,C,From 20 to 49 persons employed,2.0822187519632725e-07,0.04270418092187881,1.0,20,49,4.320826915952126,151.22894205832444
15,Basic metals,C,From 50 to 249 persons employed,1.006558623254066e-07,0.04270418092187881,1.0,50,249,2.0887169456807375,313.30754185211066
15,Basic metals,C,250 persons employed or more,3.3707974008403035e-08,0.04270418092187881,1.0,250,2000,0.699476561914526,699.476561914526
15,Basic metals,I,From 0 to 9 persons employed,1.0388328385557775e-05,0.04270418092187881,1.0,0,9,215.56893990002476,1077.8446995001239
15,Basic metals,I,From 10 to 19 persons employed,1.982718589716672e-06,0.04270418092187881,1.0,10,19,41.143534228230536,617.153013423458
15,Basic metals,I,From 20 to 49 persons employed,1.2518633844945611e-06,0.04270418092187881,1.0,20,49,25.977505973946936,909.2127090881429
15,Basic metals,I,From 50 to 249 persons employed,6.051592243182559e-07,0.04270418092187881,1.0,50,249,12.557702030133056,1883.6553045199585
15,Basic metals,I,250 persons employed or more,2.0265775815738323e-07,0.04270418092187881,1.0,250,2000,4.2053655282246885,4205.365528224689
15,Basic metals,Int,From 0 to 9 persons employed,0.0015189811735934837,0.04270418092187881,1.0,0,9,31520.486180901706,157602.43090450854
15,Basic metals,Int,From 10 to 19 persons employed,0.0002899130734546703,0.04270418092187881,1.0,10,19,6016.0067710860785,90240.10156629117
15,Basic metals,Int,From 20 to 49 persons employed,0.00018304743962482657,0.04270418092187881,1.0,20,49,3798.4304160229894,132945.06456080466
15,Basic metals,Int,From 50 to 249 persons employed,8.848636995763502e-05,0.04270418092187881,1.0,50,249,1836.1869455231513,275428.04182847275
15,Basic metals,Int,250 persons employed or more,2.963261343872102e-05,0.04270418092187881,1.0,250,2000,614.9084653824541,614908.465382454
