#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row,L min,L max,Firms in absolute numbers,Recipe,K min,K max,Cost of capital,Wage
4,Mining and quarrying,I,250 persons employed or more,1.658089461047091e-08,1.0,0.0,250,1850,0.6726903929155676,696.3056246196394,174076.40615490984,1288165.4055463327,0.15,32497.13069196657
4,Mining and quarrying,Int,From 0 to 9 persons employed,0.00044413011360098744,1.0,0.0,0,9,18018.45242024603,696.3056246196394,696.3056246196394,6266.750621576754,0.15,32497.13069196657
4,Mining and quarrying,Int,From 10 to 19 persons employed,4.297110194543383e-05,1.0,0.0,10,19,1743.346672828761,696.3056246196394,6963.056246196395,13229.80686777315,0.15,32497.13069196657
4,Mining and quarrying,Int,From 20 to 49 persons employed,3.0275359620305723e-05,1.0,0.0,20,49,1228.277727896683,696.3056246196394,13926.11249239279,34118.97560636233,0.15,32497.13069196657
4,Mining and quarrying,Int,From 50 to 249 persons employed,1.5307324962588852e-05,1.0,0.0,50,249,621.0214035777968,696.3056246196394,34815.28123098197,173380.10053029022,0.15,32497.13069196657
4,Mining and quarrying,Int,250 persons employed or more,4.409086857036806e-06,1.0,0.0,250,1850,178.87758410731004,696.3056246196394,174076.40615490984,1288165.4055463327,0.15,32497.13069196657
5,"Food, beverages and tobacco products",C,From 0 to 9 persons employed,0.003802048033770754,0.1149449637505493,1.0,0,9,154249.89096221462,120.33321466173317,120.33321466173317,1082.9989319555984,0.15,48147.24953293155
5,"Food, beverages and tobacco products",C,From 10 to 19 persons employed,0.00025897149336632553,0.1149449637505493,1.0,10,19,10506.528128856928,120.33321466173317,1203.3321466173315,2286.33107857293,0.15,48147.24953293155
5,"Food, beverages and tobacco products",C,From 20 to 49 persons employed,0.00016991821861044588,0.1149449637505493,1.0,20,49,6893.617981769916,120.33321466173317,2406.664293234663,5896.327518424925,0.15,48147.24953293155
5,"Food, beverages and tobacco products",C,From 50 to 249 persons employed,0.00010760337170043851,0.1149449637505493,1.0,50,249,4365.49149419822,120.33321466173317,6016.660733086658,29962.970450771558,0.15,48147.24953293155
5,"Food, beverages and tobacco products",C,250 persons employed or more,2.074174277313794e-05,0.1149449637505493,1.0,250,1850,841.4968808139313,120.33321466173317,30083.303665433294,222616.44712420634,0.15,48147.24953293155
5,"Food, beverages and tobacco products",I,From 0 to 9 persons employed,3.013093583642607e-09,0.1149449637505493,1.0,0,9,0.12224184245112672,120.33321466173317,120.33321466173317,1082.9989319555984,0.15,48147.24953293155
5,"Food, beverages and tobacco products",I,From 10 to 19 persons employed,2.052329002888837e-10,0.1149449637505493,1.0,10,19,0.008326342068861972,120.33321466173317,1203.3321466173315,2286.33107857293,0.15,48147.24953293155
5,"Food, beverages and tobacco products",I,From 20 to 49 persons employed,1.3465887061172944e-10,0.1149449637505493,1.0,20,49,0.005463138793739562,120.33321466173317,2406.664293234663,5896.327518424925,0.15,48147.24953293155
5,"Food, beverages and tobacco products",I,From 50 to 249 persons employed,8.527483765831104e-11,0.1149449637505493,1.0,50,249,0.003459618156788425,120.33321466173317,6016.660733086658,29962.970450771558,0.15,48147.24953293155
5,"Food, beverages and tobacco products",I,250 persons employed or more,1.6437670305107885e-11,0.1149449637505493,1.0,250,1850,0.0006668797526266613,120.33321466173317,30083.303665433294,222616.44712420634,0.15,48147.24953293155
5,"Food, beverages and tobacco products",Int,From 0 to 9 persons employed,0.0027852215882231916,0.1149449637505493,1.0,0,9,112997.02751597,120.33321466173317,120.33321466173317,1082.9989319555984,0.15,48147.24953293155
5,"Food, beverages and tobacco products",Int,From 10 to 19 persons employed,0.0001897116994976344,0.1149449637505493,1.0,10,19,7696.6436777876215,120.33321466173317,1203.3321466173315,2286.33107857293,0.15,48147.24953293155
5,"Food, beverages and tobacco products",Int,From 20 to 49 persons employed,0.00012447498992717275,0.1149449637505493,1.0,20,49,5049.976605568273,120.33321466173317,2406.664293234663,5896.327518424925,0.15,48147.24953293155
5,"Food, beverages and tobacco products",Int,From 50 to 249 persons employed,7.882573580440364e-05,0.1149449637505493,1.0,50,249,3197.9767338149104,120.33321466173317,6016.660733086658,29962.970450771558,0.15,48147.24953293155
5,"Food, beverages and tobacco products",Int,250 persons employed or more,1.519453442880923e-05,0.1149449637505493,1.0,250,1850,616.445467823555,120.33321466173317,30083.303665433294,222616.44712420634,0.15,48147.24953293155
6,"Textiles, wearing apparel, leather and related products",C,From 0 to 9 persons employed,0.0010008041243382304,0.03094387162144041,1.0,0,9,40602.83449407224,87.28595704971896,87.28595704971896,785.5736134474707,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",C,From 10 to 19 persons employed,6.816845456578905e-05,0.03094387162144041,1.0,10,19,2765.608585277975,87.28595704971896,872.8595704971896,1658.4331839446602,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",C,From 20 to 49 persons employed,4.4727171375813504e-05,0.03094387162144041,1.0,20,49,1814.590780149914,87.28595704971896,1745.7191409943791,4277.01189543623,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",C,From 50 to 249 persons employed,2.8324181397491434e-05,0.03094387162144041,1.0,50,249,1149.1180156985024,87.28595704971896,4364.297852485948,21734.203305380022,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",C,250 persons employed or more,5.4597999627930976e-06,0.03094387162144041,1.0,250,1850,221.50523650830812,87.28595704971896,21821.489262429743,161479.02054198008,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",I,From 0 to 9 persons employed,1.0034176636462055e-05,0.03094387162144041,1.0,0,9,407.08866335253583,87.28595704971896,87.28595704971896,785.5736134474707,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",I,From 10 to 19 persons employed,6.834647235292538e-07,0.03094387162144041,1.0,10,19,27.72830804463849,87.28595704971896,872.8595704971896,1658.4331839446602,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",I,From 20 to 49 persons employed,4.484397367276899e-07,0.03094387162144041,1.0,20,49,18.19329473982683,87.28595704971896,1745.7191409943791,4277.01189543623,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",I,From 50 to 249 persons employed,2.839814828036925e-07,0.03094387162144041,1.0,50,249,11.521188677438676,87.28595704971896,4364.297852485948,21734.203305380022,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",I,250 persons employed or more,5.4740578994556545e-08,0.03094387162144041,1.0,250,1850,2.220836840071327,87.28595704971896,21821.489262429743,161479.02054198008,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",Int,From 0 to 9 persons employed,0.0007624948847918039,0.03094387162144041,1.0,0,9,30934.578362424174,87.28595704971896,87.28595704971896,785.5736134474707,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",Int,From 10 to 19 persons employed,5.193633463985425e-05,0.03094387162144041,1.0,10,19,2107.068054905496,87.28595704971896,872.8595704971896,1658.4331839446602,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",Int,From 20 to 49 persons employed,3.407683737096427e-05,0.03094387162144041,1.0,20,49,1382.5044823527057,87.28595704971896,1745.7191409943791,4277.01189543623,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",Int,From 50 to 249 persons employed,2.1579690677017513e-05,0.03094387162144041,1.0,50,249,875.4926040813333,87.28595704971896,4364.297852485948,21734.203305380022,0.15,48020.28647663589
6,"Textiles, wearing apparel, leather and related products",Int,250 persons employed or more,4.159724607818735e-06,0.03094387162144041,1.0,250,1850,168.7609050410983,87.28595704971896,21821.489262429743,161479.02054198008,0.15,48020.28647663589
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 0 to 9 persons employed,8.46509129933688e-05,0.022094849345970554,1.0,0,9,3434.305401483614,95.23860958204129,95.23860958204129,857.1474862383716,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 10 to 19 persons employed,5.7658854275372915e-06,0.022094849345970554,1.0,10,19,233.92318839701312,95.23860958204129,952.3860958204128,1809.5335820587845,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 20 to 49 persons employed,3.7831537665545294e-06,0.022094849345970554,1.0,20,49,153.483346554562,95.23860958204129,1904.7721916408257,4666.691869520023,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 50 to 249 persons employed,2.3957413411669046e-06,0.022094849345970554,1.0,50,249,97.19573171256431,95.23860958204129,4761.930479102064,23714.413785928282,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,250 persons employed or more,4.6180570240675767e-07,0.022094849345970554,1.0,250,1850,18.735554787645366,95.23860958204129,23809.652395510322,176191.4277267764,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 0 to 9 persons employed,7.16992223456567e-05,0.022094849345970554,1.0,0,9,2908.8525790992076,95.23860958204129,95.23860958204129,857.1474862383716,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 10 to 19 persons employed,4.883698080385299e-06,0.022094849345970554,1.0,10,19,198.13266158152655,95.23860958204129,952.3860958204128,1809.5335820587845,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 20 to 49 persons employed,3.204326728256911e-06,0.022094849345970554,1.0,20,49,130.00021147832254,95.23860958204129,1904.7721916408257,4666.691869520023,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 50 to 249 persons employed,2.029190058664384e-06,0.022094849345970554,1.0,50,249,82.32466883911644,95.23860958204129,4761.930479102064,23714.413785928282,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,250 persons employed or more,3.911488791615051e-07,0.022094849345970554,1.0,250,1850,15.868992559995766,95.23860958204129,23809.652395510322,176191.4277267764,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 0 to 9 persons employed,0.0011098627697252728,0.022094849345970554,1.0,0,9,45027.366748798726,95.23860958204129,95.23860958204129,857.1474862383716,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 10 to 19 persons employed,7.55968405329122e-05,0.022094849345970554,1.0,10,19,3066.9797713536004,95.23860958204129,952.3860958204128,1809.5335820587845,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 20 to 49 persons employed,4.960113682381338e-05,0.022094849345970554,1.0,20,49,2012.3285867819789,95.23860958204129,1904.7721916408257,4666.691869520023,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 50 to 249 persons employed,3.141069631063673e-05,0.022094849345970554,1.0,50,249,1274.3385769794538,95.23860958204129,4761.930479102064,23714.413785928282,0.15,52395.43072387986
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,250 persons employed or more,6.054759929030411e-06,0.022094849345970554,1.0,250,1850,245.64288787510878,95.23860958204129,23809.652395510322,176191.4277267764,0.15,52395.43072387986
8,Paper and paper products,C,From 0 to 9 persons employed,0.00021039579442499141,0.02274178639357408,1.0,0,9,8535.801773334526,90.01643760935046,90.01643760935046,810.1479384841542,0.15,49522.45776654571
8,Paper and paper products,C,From 10 to 19 persons employed,1.4330832381987666e-05,0.02274178639357408,1.0,10,19,581.4048935428722,90.01643760935046,900.1643760935046,1710.3123145776588,0.15,49522.45776654571
8,Paper and paper products,C,From 20 to 49 persons employed,9.40284769531654e-06,0.02274178639357408,1.0,20,49,381.47551499985576,90.01643760935046,1800.3287521870093,4410.805442858173,0.15,49522.45776654571
8,Paper and paper products,C,From 50 to 249 persons employed,5.9545004877985285e-06,0.02274178639357408,1.0,50,249,241.57534118958924,90.01643760935046,4500.821880467523,22414.092964728265,0.15,49522.45776654571
8,Paper and paper products,C,250 persons employed or more,1.147795979890639e-06,0.02274178639357408,1.0,250,1850,46.56632508911498,90.01643760935046,22504.109402337617,166530.40957729836,0.15,49522.45776654571
8,Paper and paper products,I,From 0 to 9 persons employed,3.5504249769509036e-09,0.02274178639357408,1.0,0,9,0.1440414904545683,90.01643760935046,90.01643760935046,810.1479384841542,0.15,49522.45776654571
8,Paper and paper products,I,From 10 to 19 persons employed,2.418325203151593e-10,0.02274178639357408,1.0,10,19,0.0098111963758478,90.01643760935046,900.1643760935046,1710.3123145776588,0.15,49522.45776654571
8,Paper and paper products,I,From 20 to 49 persons employed,1.5867287368150752e-10,0.02274178639357408,1.0,20,49,0.006437391965235107,90.01643760935046,1800.3287521870093,4410.805442858173,0.15,49522.45776654571
8,Paper and paper products,I,From 50 to 249 persons employed,1.0048208099845482e-10,0.02274178639357408,1.0,50,249,0.004076579227826403,90.01643760935046,4500.821880467523,22414.092964728265,0.15,49522.45776654571
8,Paper and paper products,I,250 persons employed or more,1.936903504456885e-11,0.02274178639357408,1.0,250,1850,0.0007858058386245526,90.01643760935046,22504.109402337617,166530.40957729836,0.15,49522.45776654571
8,Paper and paper products,Int,From 0 to 9 persons employed,0.00109288826598005,0.02274178639357408,1.0,0,9,44338.70755023475,90.01643760935046,90.01643760935046,810.1479384841542,0.15,49522.45776654571
8,Paper and paper products,Int,From 10 to 19 persons employed,7.444064457089202e-05,0.02274178639357408,1.0,10,19,3020.072657217094,90.01643760935046,900.1643760935046,1710.3123145776588,0.15,49522.45776654571
8,Paper and paper products,Int,From 20 to 49 persons employed,4.884252530376796e-05,0.02274178639357408,1.0,20,49,1981.551557346705,90.01643760935046,1800.3287521870093,4410.805442858173,0.15,49522.45776654571
8,Paper and paper products,Int,From 50 to 249 persons employed,3.093029369086336e-05,0.02274178639357408,1.0,50,249,1254.8485413302953,90.01643760935046,4500.821880467523,22414.092964728265,0.15,49522.45776654571
8,Paper and paper products,Int,250 persons employed or more,5.962156998384138e-06,0.02274178639357408,1.0,250,1850,241.88596743957115,90.01643760935046,22504.109402337617,166530.40957729836,0.15,49522.45776654571
9,Printing and recording services,C,From 0 to 9 persons employed,5.645276324484711e-05,0.012872445724610548,1.0,0,9,2290.300516376492,85.5567939908656,85.5567939908656,770.0111459177905,0.15,47068.98905998894
9,Printing and recording services,C,From 10 to 19 persons employed,3.845205602958768e-06,0.012872445724610548,1.0,10,19,156.00080265041944,85.5567939908656,855.567939908656,1625.5790858264465,0.15,47068.98905998894
9,Printing and recording services,C,From 20 to 49 persons employed,2.5229436558928156e-06,0.012872445724610548,1.0,20,49,102.35635646068292,85.5567939908656,1711.135879817312,4192.282905552414,0.15,47068.98905998894
9,Printing and recording services,C,From 50 to 249 persons employed,1.5976935622582408e-06,0.012872445724610548,1.0,50,249,64.81876493415847,85.5567939908656,4277.83969954328,21303.641703725534,0.15,47068.98905998894
9,Printing and recording services,C,250 persons employed or more,3.079731459615947e-07,0.012872445724610548,1.0,250,1850,12.494535513995695,85.5567939908656,21389.198497716403,158280.06888310137,0.15,47068.98905998894
9,Printing and recording services,I,From 0 to 9 persons employed,6.253829607668634e-08,0.012872445724610548,1.0,0,9,2.537191867411637,85.5567939908656,85.5567939908656,770.0111459177905,0.15,47068.98905998894
9,Printing and recording services,I,From 10 to 19 persons employed,4.259713655301337e-09,0.012872445724610548,1.0,10,19,0.17281748179515652,85.5567939908656,855.567939908656,1625.5790858264465,0.15,47068.98905998894
9,Printing and recording services,I,From 20 to 49 persons employed,2.7949136281017074e-09,0.012872445724610548,1.0,20,49,0.1133902356188618,85.5567939908656,1711.135879817312,4192.282905552414,0.15,47068.98905998894
9,Printing and recording services,I,From 50 to 249 persons employed,1.769922804362314e-09,0.012872445724610548,1.0,50,249,0.0718061416266908,85.5567939908656,4277.83969954328,21303.641703725534,0.15,47068.98905998894
9,Printing and recording services,I,250 persons employed or more,3.411722416895646e-10,0.012872445724610548,1.0,250,1850,0.013841429832688632,85.5567939908656,21389.198497716403,158280.06888310137,0.15,47068.98905998894
9,Printing and recording services,Int,From 0 to 9 persons employed,0.0006811795630413561,0.012872445724610548,1.0,0,9,27635.59860147562,85.5567939908656,85.5567939908656,770.0111459177905,0.15,47068.98905998894
9,Printing and recording services,Int,From 10 to 19 persons employed,4.639764861584008e-05,0.012872445724610548,1.0,10,19,1882.3623942484899,85.5567939908656,855.567939908656,1625.5790858264465,0.15,47068.98905998894
9,Printing and recording services,Int,From 20 to 49 persons employed,3.0442755293398287e-05,0.012872445724610548,1.0,20,49,1235.0690056745354,85.5567939908656,1711.135879817312,4192.282905552414,0.15,47068.98905998894
9,Printing and recording services,Int,From 50 to 249 persons employed,1.9278351316352888e-05,0.012872445724610548,1.0,50,249,782.1267806365644,85.5567939908656,4277.83969954328,21303.641703725534,0.15,47068.98905998894
9,Printing and recording services,Int,250 persons employed or more,3.7161159336826543e-06,0.012872445724610548,1.0,250,1850,150.7636075299673,85.5567939908656,21389.198497716403,158280.06888310137,0.15,47068.98905998894
10,Coke and refined petroleum products,C,From 0 to 9 persons employed,0.0002496664819651538,0.013504031591214912,1.0,0,9,10129.021852953985,229.96903102468258,229.96903102468258,2069.7212792221435,0.15,25254.93290078941
10,Coke and refined petroleum products,C,From 10 to 19 persons employed,1.700570353234289e-05,0.013504031591214912,1.0,10,19,689.9249805105964,229.96903102468258,2299.690310246826,4369.4115894689685,0.15,25254.93290078941
10,Coke and refined petroleum products,C,From 20 to 49 persons employed,1.1157903184137902e-05,0.013504031591214912,1.0,20,49,452.67848649804654,229.96903102468258,4599.380620493652,11268.482520209447,0.15,25254.93290078941
10,Coke and refined petroleum products,C,From 50 to 249 persons employed,7.065916848344873e-06,0.013504031591214912,1.0,50,249,286.66573744580654,229.96903102468258,11498.45155123413,57262.28872514596,0.15,25254.93290078941
10,Coke and refined petroleum products,C,250 persons employed or more,1.3620338044124098e-06,0.013504031591214912,1.0,250,1850,55.257998834144196,229.96903102468258,57492.25775617064,425442.7073956628,0.15,25254.93290078941
10,Coke and refined petroleum products,I,From 0 to 9 persons employed,0.0,0.013504031591214912,1.0,0,9,0.0,229.96903102468258,229.96903102468258,2069.7212792221435,0.15,25254.93290078941
10,Coke and refined petroleum products,I,From 10 to 19 persons employed,0.0,0.013504031591214912,1.0,10,19,0.0,229.96903102468258,2299.690310246826,4369.4115894689685,0.15,25254.93290078941
10,Coke and refined petroleum products,I,From 20 to 49 persons employed,0.0,0.013504031591214912,1.0,20,49,0.0,229.96903102468258,4599.380620493652,11268.482520209447,0.15,25254.93290078941
10,Coke and refined petroleum products,I,From 50 to 249 persons employed,0.0,0.013504031591214912,1.0,50,249,0.0,229.96903102468258,11498.45155123413,57262.28872514596,0.15,25254.93290078941
10,Coke and refined petroleum products,I,250 persons employed or more,0.0,0.013504031591214912,1.0,250,1850,0.0,229.96903102468258,57492.25775617064,425442.7073956628,0.15,25254.93290078941
10,Coke and refined petroleum products,Int,From 0 to 9 persons employed,0.000524223342013693,0.013504031591214912,1.0,0,9,21267.851596620687,229.96903102468258,229.96903102468258,2069.7212792221435,0.15,25254.93290078941
10,Coke and refined petroleum products,Int,From 10 to 19 persons employed,3.570678237963516e-05,0.013504031591214912,1.0,10,19,1448.6316952728805,229.96903102468258,2299.690310246826,4369.4115894689685,0.15,25254.93290078941
10,Coke and refined petroleum products,Int,From 20 to 49 persons employed,2.34281880812114e-05,0.013504031591214912,1.0,20,49,950.4865338024316,229.96903102468258,4599.380620493652,11268.482520209447,0.15,25254.93290078941
10,Coke and refined petroleum products,Int,From 50 to 249 persons employed,1.483626682874955e-05,0.013504031591214912,1.0,50,249,601.9104756946701,229.96903102468258,11498.45155123413,57262.28872514596,0.15,25254.93290078941
10,Coke and refined petroleum products,Int,250 persons employed or more,2.8598549042892874e-06,0.013504031591214912,1.0,250,1850,116.0249168964012,229.96903102468258,57492.25775617064,425442.7073956628,0.15,25254.93290078941
11,Chemicals and chemical products,C,From 0 to 9 persons employed,0.0003722349851921661,0.06356067823033243,1.0,0,9,15101.651890828054,308.99374494974376,308.99374494974376,2780.9437045476943,0.15,33933.33554826281
11,Chemicals and chemical products,C,From 10 to 19 persons employed,2.535429566964269e-05,0.06356067823033243,1.0,10,19,1028.6291250737902,308.99374494974376,3089.9374494974377,5870.881154045132,0.15,33933.33554826281
11,Chemicals and chemical products,C,From 20 to 49 persons employed,1.663564085107301e-05,0.06356067823033243,1.0,20,49,674.9114594482515,308.99374494974376,6179.874898994875,15140.693502537446,0.15,33933.33554826281
11,Chemicals and chemical products,C,From 50 to 249 persons employed,1.0534779970103589e-05,0.06356067823033243,1.0,50,249,427.3982462256763,308.99374494974376,15449.687247487189,76939.44249248621,0.15,33933.33554826281
11,Chemicals and chemical products,C,250 persons employed or more,2.0306956265256503e-06,0.06356067823033243,1.0,250,1850,82.38575004492283,308.99374494974376,77248.43623743595,571638.4281570261,0.15,33933.33554826281
11,Chemicals and chemical products,I,From 0 to 9 persons employed,2.5056846489013357e-07,0.06356067823033243,1.0,0,9,10.16561549053881,308.99374494974376,308.99374494974376,2780.9437045476943,0.15,33933.33554826281
11,Chemicals and chemical products,I,From 10 to 19 persons employed,1.7067140911091966e-08,0.06356067823033243,1.0,10,19,0.6924175079297333,308.99374494974376,3089.9374494974377,5870.881154045132,0.15,33933.33554826281
11,Chemicals and chemical products,I,From 20 to 49 persons employed,1.1198213914162426e-08,0.06356067823033243,1.0,20,49,0.45431390132070554,308.99374494974376,6179.874898994875,15140.693502537446,0.15,33933.33554826281
11,Chemicals and chemical products,I,From 50 to 249 persons employed,7.091444249125182e-09,0.06356067823033243,1.0,50,249,0.2877013894817452,308.99374494974376,15449.687247487189,76939.44249248621,0.15,33933.33554826281
11,Chemicals and chemical products,I,250 persons employed or more,1.3669544939064711e-09,0.06356067823033243,1.0,250,1850,0.05545763224518375,308.99374494974376,77248.43623743595,571638.4281570261,0.15,33933.33554826281
11,Chemicals and chemical products,Int,From 0 to 9 persons employed,0.0032700534729583806,0.06356067823033243,1.0,0,9,132666.7593792043,308.99374494974376,308.99374494974376,2780.9437045476943,0.15,33933.33554826281
11,Chemicals and chemical products,Int,From 10 to 19 persons employed,0.00022273538465527766,0.06356067823033243,1.0,10,19,9036.421552630776,308.99374494974376,3089.9374494974377,5870.881154045132,0.15,33933.33554826281
11,Chemicals and chemical products,Int,From 20 to 49 persons employed,0.00014614272517091836,0.06356067823033243,1.0,20,49,5929.041196299169,308.99374494974376,6179.874898994875,15140.693502537446,0.15,33933.33554826281
11,Chemicals and chemical products,Int,From 50 to 249 persons employed,9.254716831709193e-05,0.06356067823033243,1.0,50,249,3754.658146076935,308.99374494974376,15449.687247487189,76939.44249248621,0.15,33933.33554826281
11,Chemicals and chemical products,Int,250 persons employed or more,1.7839492659760206e-05,0.06356067823033243,1.0,250,1850,723.7519813394227,308.99374494974376,77248.43623743595,571638.4281570261,0.15,33933.33554826281
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 0 to 9 persons employed,0.0006440588514616449,0.03273716299284782,1.0,0,9,26129.60350021659,559.5572440070915,559.5572440070915,5036.015196063824,0.15,61449.92909950993
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 10 to 19 persons employed,4.386922024585854e-05,0.03273716299284782,1.0,10,19,1779.783521779953,559.5572440070915,5595.572440070916,10631.58763613474,0.15,61449.92909950993
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 20 to 49 persons employed,2.8783784883463428e-05,0.03273716299284782,1.0,20,49,1167.7642261007218,559.5572440070915,11191.144880141832,27418.30495634749,0.15,61449.92909950993
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 50 to 249 persons employed,1.8227782336051234e-05,0.03273716299284782,1.0,50,249,739.5049754356714,559.5572440070915,27977.86220035458,139329.7537577658,0.15,61449.92909950993
12,Basic pharmaceutical products and pharmaceutical preparations,C,250 persons employed or more,3.513607116249698e-06,0.03273716299284782,1.0,250,1850,142.54778207735177,559.5572440070915,139889.31100177288,1035180.9014131195,0.15,61449.92909950993
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 0 to 9 persons employed,3.891811133587707e-09,0.03273716299284782,1.0,0,9,0.15789159886180246,559.5572440070915,559.5572440070915,5036.015196063824,0.15,61449.92909950993
