#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row
5,"Food, beverages and tobacco products",I,From 10 to 19 persons employed,3.5978641239350494e-10,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",I,From 20 to 49 persons employed,2.2716458011242587e-10,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",I,From 50 to 249 persons employed,1.098128939596086e-10,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",I,250 persons employed or more,3.6774511586929085e-11,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",Int,From 0 to 9 persons employed,0.0017425148227342294,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",Int,From 10 to 19 persons employed,0.0003325767538014255,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",Int,From 20 to 49 persons employed,0.00020998474658855216,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",Int,From 50 to 249 persons employed,0.00010150804627575226,0.1149449637505493,1.0
5,"Food, beverages and tobacco products",Int,250 persons employed or more,3.399335623835964e-05,0.1149449637505493,1.0
6,"Textiles, wearing apparel, leather and related products",C,From 0 to 9 persons employed,0.0006261318771500091,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",C,From 10 to 19 persons employed,0.00011950366472486735,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",C,From 20 to 49 persons employed,7.545309907209459e-05,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",C,From 50 to 249 persons employed,3.6474538254278385e-05,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",C,250 persons employed or more,1.2214716153034075e-05,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",I,From 0 to 9 persons employed,6.277669825948331e-06,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",I,From 10 to 19 persons employed,1.1981574130170203e-06,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",I,From 20 to 49 persons employed,7.565014026680774e-07,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",I,From 50 to 249 persons employed,3.656978930006202e-07,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",I,250 persons employed or more,1.2246614143885003e-07,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",Int,From 0 to 9 persons employed,0.0004770387550587502,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",Int,From 10 to 19 persons employed,9.104771937949266e-05,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",Int,From 20 to 49 persons employed,5.748637589019136e-05,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",Int,From 50 to 249 persons employed,2.7789302789314896e-05,0.03094387162144041,1.0
6,"Textiles, wearing apparel, leather and related products",Int,250 persons employed or more,9.306175263846805e-06,0.03094387162144041,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 0 to 9 persons employed,5.2960048590974236e-05,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 10 to 19 persons employed,1.0107966263331104e-05,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 20 to 49 persons employed,6.382041769517442e-06,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 50 to 249 persons employed,3.0851221424350755e-06,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,250 persons employed or more,1.033156088353348e-06,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 0 to 9 persons employed,4.485709799324316e-05,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 10 to 19 persons employed,8.561435369678131e-06,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 20 to 49 persons employed,5.4055817671776906e-06,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 50 to 249 persons employed,2.6130947751418727e-06,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,250 persons employed or more,8.750819746317264e-07,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 0 to 9 persons employed,0.0006943621059180797,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 10 to 19 persons employed,0.00013252610086070875,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 20 to 49 persons employed,8.367530017513074e-05,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 50 to 249 persons employed,4.044920586044934e-05,0.022094849345970554,1.0
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,250 persons employed or more,1.3545766220716366e-05,0.022094849345970554,1.0
8,Paper and paper products,C,From 0 to 9 persons employed,0.000131629667088848,0.02274178639357408,1.0
8,Paper and paper products,C,From 10 to 19 persons employed,2.5122866568032817e-05,0.02274178639357408,1.0
8,Paper and paper products,C,From 20 to 49 persons employed,1.5862259492183934e-05,0.02274178639357408,1.0
8,Paper and paper products,C,From 50 to 249 persons employed,7.667923488392934e-06,0.02274178639357408,1.0
8,Paper and paper products,C,250 persons employed or more,2.5678600299461296e-06,0.02274178639357408,1.0
8,Paper and paper products,I,From 0 to 9 persons employed,2.2212480958434317e-09,0.02274178639357408,1.0
8,Paper and paper products,I,From 10 to 19 persons employed,4.239478892604399e-10,0.02274178639357408,1.0
8,Paper and paper products,I,From 20 to 49 persons employed,2.676753232917131e-10,0.02274178639357408,1.0
8,Paper and paper products,I,From 50 to 249 persons employed,1.2939606111872447e-10,0.02274178639357408,1.0
8,Paper and paper products,I,250 persons employed or more,4.333258852702472e-11,0.02274178639357408,1.0
8,Paper and paper products,Int,From 0 to 9 persons employed,0.0006837423676144292,0.02274178639357408,1.0
8,Paper and paper products,Int,From 10 to 19 persons employed,0.00013049921532425936,0.02274178639357408,1.0
8,Paper and paper products,Int,From 20 to 49 persons employed,8.239555034033183e-05,0.02274178639357408,1.0
8,Paper and paper products,Int,From 50 to 249 persons employed,3.983056613750464e-05,0.02274178639357408,1.0
8,Paper and paper products,Int,250 persons employed or more,1.333859406780022e-05,0.02274178639357408,1.0
9,Printing and recording services,C,From 0 to 9 persons employed,3.531847417612698e-05,0.012872445724610548,1.0
9,Printing and recording services,C,From 10 to 19 persons employed,6.740891576626386e-06,0.012872445724610548,1.0
9,Printing and recording services,C,From 20 to 49 persons employed,4.256113493560507e-06,0.012872445724610548,1.0
9,Printing and recording services,C,From 50 to 249 persons employed,2.0574340397482315e-06,0.012872445724610548,1.0
9,Printing and recording services,C,250 persons employed or more,6.890004370697432e-07,0.012872445724610548,1.0
9,Printing and recording services,I,From 0 to 9 persons employed,3.912575874140298e-08,0.012872445724610548,1.0
9,Printing and recording services,I,From 10 to 19 persons employed,7.467550727525838e-09,0.012872445724610548,1.0
9,Printing and recording services,I,From 20 to 49 persons employed,4.714916870266085e-09,0.012872445724610548,1.0
9,Printing and recording services,I,From 50 to 249 persons employed,2.2792226941658583e-09,0.012872445724610548,1.0
9,Printing and recording services,I,250 persons employed or more,7.632737682573397e-10,0.012872445724610548,1.0
9,Printing and recording services,Int,From 0 to 9 persons employed,0.00042616554839372864,0.012872445724610548,1.0
9,Printing and recording services,Int,From 10 to 19 persons employed,8.133804821493207e-05,0.012872445724610548,1.0
9,Printing and recording services,Int,From 20 to 49 persons employed,5.135581259722652e-05,0.012872445724610548,1.0
9,Printing and recording services,Int,From 50 to 249 persons employed,2.4825747042772735e-05,0.012872445724610548,1.0
9,Printing and recording services,Int,250 persons employed or more,8.313729739373046e-06,0.012872445724610548,1.0
10,Coke and refined petroleum products,C,From 0 to 9 persons employed,0.00015619853996669738,0.013504031591214912,1.0
10,Coke and refined petroleum products,C,From 10 to 19 persons employed,2.981208692912773e-05,0.013504031591214912,1.0
10,Coke and refined petroleum products,C,From 20 to 49 persons employed,1.8822973787357777e-05,0.013504031591214912,1.0
10,Coke and refined petroleum products,C,From 50 to 249 persons employed,9.09915279702774e-06,0.013504031591214912,1.0
10,Coke and refined petroleum products,C,250 persons employed or more,3.0471549186984705e-06,0.013504031591214912,1.0
10,Coke and refined petroleum products,I,From 0 to 9 persons employed,0.0,0.013504031591214912,1.0
10,Coke and refined petroleum products,I,From 10 to 19 persons employed,0.0,0.013504031591214912,1.0
10,Coke and refined petroleum products,I,From 20 to 49 persons employed,0.0,0.013504031591214912,1.0
10,Coke and refined petroleum products,I,From 50 to 249 persons employed,0.0,0.013504031591214912,1.0
10,Coke and refined petroleum products,I,250 persons employed or more,0.0,0.013504031591214912,1.0
10,Coke and refined petroleum products,Int,From 0 to 9 persons employed,0.00032796921715118316,0.013504031591214912,1.0
10,Coke and refined petroleum products,Int,From 10 to 19 persons employed,6.259627531648927e-05,0.013504031591214912,1.0
10,Coke and refined petroleum products,Int,From 20 to 49 persons employed,3.952249476091886e-05,0.013504031591214912,1.0
10,Coke and refined petroleum products,Int,From 50 to 249 persons employed,1.910544119180914e-05,0.013504031591214912,1.0
10,Coke and refined petroleum products,Int,250 persons employed or more,6.398094460018563e-06,0.013504031591214912,1.0
11,Chemicals and chemical products,C,From 0 to 9 persons employed,0.00023288092479973577,0.06356067823033243,1.0
11,Chemicals and chemical products,C,From 10 to 19 persons employed,4.444770338919689e-05,0.06356067823033243,1.0
11,Chemicals and chemical products,C,From 20 to 49 persons employed,2.8063716498346655e-05,0.06356067823033243,1.0
11,Chemicals and chemical products,C,From 50 to 249 persons employed,1.3566190303172565e-05,0.06356067823033243,1.0
11,Chemicals and chemical products,C,250 persons employed or more,4.543091475924553e-06,0.06356067823033243,1.0
11,Chemicals and chemical products,I,From 0 to 9 persons employed,1.5676284645608988e-07,0.06356067823033243,1.0
11,Chemicals and chemical products,I,From 10 to 19 persons employed,2.991979058704942e-08,0.06356067823033243,1.0
11,Chemicals and chemical products,I,From 20 to 49 persons employed,1.88909765117119e-08,0.06356067823033243,1.0
11,Chemicals and chemical products,I,From 50 to 249 persons employed,9.132025773768953e-09,0.06356067823033243,1.0
11,Chemicals and chemical products,I,250 persons employed or more,3.0581635318082502e-09,0.06356067823033243,1.0
11,Chemicals and chemical products,Int,From 0 to 9 persons employed,0.0020458396099818353,0.06356067823033243,1.0
11,Chemicals and chemical products,Int,From 10 to 19 persons employed,0.00039046938792664063,0.06356067823033243,1.0
11,Chemicals and chemical products,Int,From 20 to 49 persons employed,0.00024653742192492123,0.06356067823033243,1.0
11,Chemicals and chemical products,Int,From 50 to 249 persons employed,0.00011917785667782356,0.06356067823033243,1.0
11,Chemicals and chemical products,Int,250 persons employed or more,3.991068182681759e-05,0.06356067823033243,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 0 to 9 persons employed,0.00040294176238273727,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 10 to 19 persons employed,7.690555142251168e-05,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 20 to 49 persons employed,4.8557190309071334e-05,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 50 to 249 persons employed,2.347287410628729e-05,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,C,250 persons employed or more,7.860675096293276e-06,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 0 to 9 persons employed,2.4348291052436188e-09,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 10 to 19 persons employed,4.6471200664595943e-10,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 20 to 49 persons employed,2.934132702806816e-10,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 50 to 249 persons employed,1.4183795871578314e-10,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,I,250 persons employed or more,4.749917307687469e-11,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,Int,From 0 to 9 persons employed,0.0007708000045538774,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,Int,From 10 to 19 persons employed,0.00014711505463259488,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,Int,From 20 to 49 persons employed,9.288658065629971e-05,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,Int,From 50 to 249 persons employed,4.4902001125495555e-05,0.03273716299284782,1.0
12,Basic pharmaceutical products and pharmaceutical preparations,Int,250 persons employed or more,1.503693328830039e-05,0.03273716299284782,1.0
13,Rubber and plastic products,C,From 0 to 9 persons employed,0.00016523446681996812,0.051463025750899116,1.0
13,Rubber and plastic products,C,From 10 to 19 persons employed,3.153668587155306e-05,0.051463025750899116,1.0
13,Rubber and plastic products,C,From 20 to 49 persons employed,1.991186369849178e-05,0.051463025750899116,1.0
13,Rubber and plastic products,C,From 50 to 249 persons employed,9.625529542407091e-06,0.051463025750899116,1.0
13,Rubber and plastic products,C,250 persons employed or more,3.2234297351072148e-06,0.051463025750899116,1.0
13,Rubber and plastic products,I,From 0 to 9 persons employed,2.1795137431495184e-05,0.051463025750899116,1.0
13,Rubber and plastic products,I,From 10 to 19 persons employed,4.1598246173015e-06,0.051463025750899116,1.0
13,Rubber and plastic products,I,From 20 to 49 persons employed,2.626460533192962e-06,0.051463025750899116,1.0
13,Rubber and plastic products,I,From 50 to 249 persons employed,1.2696487800953581e-06,0.051463025750899116,1.0
13,Rubber and plastic products,I,250 persons employed or more,4.251842574344769e-07,0.051463025750899116,1.0
13,Rubber and plastic products,Int,From 0 to 9 persons employed,0.0016581036497704106,0.051463025750899116,1.0
13,Rubber and plastic products,Int,From 10 to 19 persons employed,0.00031646601917661066,0.051463025750899116,1.0
13,Rubber and plastic products,Int,From 20 to 49 persons employed,0.00019981263296702382,0.051463025750899116,1.0
13,Rubber and plastic products,Int,From 50 to 249 persons employed,9.659077777415245e-05,0.051463025750899116,1.0
13,Rubber and plastic products,Int,250 persons employed or more,3.234664480978517e-05,0.051463025750899116,1.0
14,Other non-metallic mineral products,C,From 0 to 9 persons employed,9.619520020836133e-05,0.03620832672900528,1.0
14,Other non-metallic mineral products,C,From 10 to 19 persons employed,1.8359836598907675e-05,0.03620832672900528,1.0
14,Other non-metallic mineral products,C,From 20 to 49 persons employed,1.1592168098227222e-05,0.03620832672900528,1.0
14,Other non-metallic mineral products,C,From 50 to 249 persons employed,5.603732437084069e-06,0.03620832672900528,1.0
14,Other non-metallic mineral products,C,250 persons employed or more,1.8765967820991665e-06,0.03620832672900528,1.0
14,Other non-metallic mineral products,I,From 0 to 9 persons employed,3.798541281390568e-05,0.03620832672900528,1.0
14,Other non-metallic mineral products,I,From 10 to 19 persons employed,7.249904058568021e-06,0.03620832672900528,1.0
14,Other non-metallic mineral products,I,From 20 to 49 persons employed,4.5774975223875564e-06,0.03620832672900528,1.0
14,Other non-metallic mineral products,I,From 50 to 249 persons employed,2.2127932522646824e-06,0.03620832672900528,1.0
14,Other non-metallic mineral products,I,250 persons employed or more,7.41027653135316e-07,0.03620832672900528,1.0
14,Other non-metallic mineral products,Int,From 0 to 9 persons employed,0.0011640172046412129,0.03620832672900528,1.0
14,Other non-metallic mineral products,Int,From 10 to 19 persons employed,0.00022216457400410248,0.03620832672900528,1.0
14,Other non-metallic mineral products,Int,From 20 to 49 persons employed,0.00014027189585553393,0.03620832672900528,1.0
14,Other non-metallic mineral products,Int,From 50 to 249 persons employed,6.78083828802606e-05,0.03620832672900528,1.0
14,Other non-metallic mineral products,Int,250 persons employed or more,2.2707899518960604e-05,0.03620832672900528,1.0
15,Basic metals,C,From 0 to 9 persons employed,1.7278860004915119e-06,0.04270418092187881,1.0
15,Basic metals,C,From 10 to 19 persons employed,3.2978469364219715e-07,0.04270418092187881,1.0
15,Basic metals,C,From 20 to 49 persons employed,2.0822187519632725e-07,0.04270418092187881,1.0
15,Basic metals,C,From 50 to 249 persons employed,1.006558623254066e-07,0.04270418092187881,1.0
15,Basic metals,C,250 persons employed or more,3.3707974008403035e-08,0.04270418092187881,1.0
15,Basic metals,I,From 0 to 9 persons employed,1.0388328385557775e-05,0.04270418092187881,1.0
15,Basic metals,I,From 10 to 19 persons employed,1.982718589716672e-06,0.04270418092187881,1.0
15,Basic metals,I,From 20 to 49 persons employed,1.2518633844945611e-06,0.04270418092187881,1.0
15,Basic metals,I,From 50 to 249 persons employed,6.051592243182559e-07,0.04270418092187881,1.0
15,Basic metals,I,250 persons employed or more,2.0265775815738323e-07,0.04270418092187881,1.0
15,Basic metals,Int,From 0 to 9 persons employed,0.0015189811735934837,0.04270418092187881,1.0
15,Basic metals,Int,From 10 to 19 persons employed,0.0002899130734546703,0.04270418092187881,1.0
15,Basic metals,Int,From 20 to 49 persons employed,0.00018304743962482657,0.04270418092187881,1.0
15,Basic metals,Int,From 50 to 249 persons employed,8.848636995763502e-05,0.04270418092187881,1.0
15,Basic metals,Int,250 persons employed or more,2.963261343872102e-05,0.04270418092187881,1.0
16,"Fabricated metal products, except machinery and equipment",C,From 0 to 9 persons employed,0.00014968042988671684,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",C,From 10 to 19 persons employed,2.8568039037518537e-05,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",C,From 20 to 49 persons employed,1.80374977182169e-05,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",C,From 50 to 249 persons employed,8.719448354347066e-06,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",C,250 persons employed or more,2.9199982167532066e-06,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",I,From 0 to 9 persons employed,0.0004571066161727201,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",I,From 10 to 19 persons employed,8.724346706522346e-05,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",I,From 20 to 49 persons employed,5.5084419201878454e-05,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",I,From 50 to 249 persons employed,2.6628180685777724e-05,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",I,250 persons employed or more,8.917334785186138e-06,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",Int,From 0 to 9 persons employed,0.003317666087497182,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",Int,From 10 to 19 persons employed,0.0006332104629362901,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",Int,From 20 to 49 persons employed,0.0003998010596864716,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",Int,From 50 to 249 persons employed,0.0001932665354368251,0.10945780324006169,1.0
16,"Fabricated metal products, except machinery and equipment",Int,250 persons employed or more,6.47217479707016e-05,0.10945780324006169,1.0
17,"Computer, electronic and optical products",C,From 0 to 9 persons employed,0.0003300561619742068,0.0460478400142259,1.0
17,"Computer, electronic and optical products",C,From 10 to 19 persons employed,6.299459005421689e-05,0.0460478400142259,1.0
17,"Computer, electronic and optical products",C,From 20 to 49 persons employed,3.977398563726003e-05,0.0460478400142259,1.0
17,"Computer, electronic and optical products",C,From 50 to 249 persons employed,1.9227013581843692e-05,0.0460478400142259,1.0
17,"Computer, electronic and optical products",C,250 persons employed or more,6.438807031236479e-06,0.0460478400142259,1.0
17,"Computer, electronic and optical products",I,From 0 to 9 persons employed,0.0004966600318210649,0.0460478400142259,1.0
17,"Computer, electronic and optical products",I,From 10 to 19 persons employed,9.479264048197744e-05,0.0460478400142259,1.0
17,"Computer, electronic and optical products",I,From 20 to 49 persons employed,5.9850871603469376e-05,0.0460478400142259,1.0
17,"Computer, electronic and optical products",I,From 50 to 249 persons employed,2.8932316004234427e-05,0.0460478400142259,1.0
17,"Computer, electronic and optical products",I,250 persons employed or more,9.688951376928133e-06,0.0460478400142259,1.0
17,"Computer, electronic and optical products",Int,From 0 to 9 persons employed,0.0008242633132665116,0.0460478400142259,1.0
17,"Computer, electronic and optical products",Int,From 10 to 19 persons employed,0.000157319073230974,0.0460478400142259,1.0
17,"Computer, electronic and optical products",Int,From 20 to 49 persons employed,9.932926865260165e-05,0.0460478400142259,1.0
17,"Computer, electronic and optical products",Int,From 50 to 249 persons employed,4.801644006400703e-05,0.0460478400142259,1.0
17,"Computer, electronic and optical products",Int,250 persons employed or more,1.6079907084011486e-05,0.0460478400142259,1.0
18,Electrical equipment,C,From 0 to 9 persons employed,0.00031217483012092374,0.054724304078036946,1.0
18,Electrical equipment,C,From 10 to 19 persons employed,5.958175521125158e-05,0.054724304078036946,1.0
18,Electrical equipment,C,From 20 to 49 persons employed,3.761916497869847e-05,0.054724304078036946,1.0
18,Electrical equipment,C,From 50 to 249 persons employed,1.8185358706055015e-05,0.054724304078036946,1.0
18,Electrical equipment,C,250 persons employed or more,6.0899741399608755e-06,0.054724304078036946,1.0
18,Electrical equipment,I,From 0 to 9 persons employed,0.00029242902720542707,0.054724304078036946,1.0
18,Electrical equipment,I,From 10 to 19 persons employed,5.581306702039066e-05,0.054724304078036946,1.0
18,Electrical equipment,I,From 20 to 49 persons employed,3.5239663027092714e-05,0.054724304078036946,1.0
18,Electrical equipment,I,From 50 to 249 persons employed,1.7035091374065824e-05,0.054724304078036946,1.0
18,Electrical equipment,I,250 persons employed or more,5.70476874373608e-06,0.054724304078036946,1.0
18,Electrical equipment,Int,From 0 to 9 persons employed,0.0013574578711530846,0.054724304078036946,1.0
18,Electrical equipment,Int,From 10 to 19 persons employed,0.0002590847012147016,0.054724304078036946,1.0
18,Electrical equipment,Int,From 20 to 49 persons employed,0.0001635827961746937,0.054724304078036946,1.0
18,Electrical equipment,Int,From 50 to 249 persons employed,7.90770297070855e-05,0.054724304078036946,1.0
18,Electrical equipment,Int,250 persons employed or more,2.6481581901418428e-05,0.054724304078036946,1.0
19,Machinery and equipment n.e.c.,C,From 0 to 9 persons employed,7.891665666807747e-05,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,C,From 10 to 19 persons employed,1.5062050062993282e-05,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,C,From 20 to 49 persons employed,9.509987482378792e-06,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,C,From 50 to 249 persons employed,4.59719224908577e-06,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,C,250 persons employed or more,1.539523215675645e-06,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,I,From 0 to 9 persons employed,0.002022597601826461,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,I,From 10 to 19 persons employed,0.0003860334132518246,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,I,From 20 to 49 persons employed,0.0002437366037459073,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,I,From 50 to 249 persons employed,0.00011782392223284986,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,I,250 persons employed or more,3.945727170220197e-05,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,Int,From 0 to 9 persons employed,0.0023846321708785715,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,Int,From 10 to 19 persons employed,0.00045513140895800695,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,Int,From 20 to 49 persons employed,0.0002873642023447044,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,Int,From 50 to 249 persons employed,0.00013891379837582528,0.12512411703268533,1.0
19,Machinery and equipment n.e.c.,Int,250 persons employed or more,4.6519920418772706e-05,0.12512411703268533,1.0
20,"Motor vehicles, trailers and semi-trailers",C,From 0 to 9 persons employed,0.0011074629376623029,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",C,From 10 to 19 persons employed,0.00021137061444629975,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",C,From 20 to 49 persons employed,0.00013345672661557674,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",C,From 50 to 249 persons employed,6.451388399009992e-05,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",C,250 persons employed or more,2.1604626640514278e-05,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",I,From 0 to 9 persons employed,0.0008401625912719365,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",I,From 10 to 19 persons employed,0.00016035361285028895,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",I,From 20 to 49 persons employed,0.00010124523850224195,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",I,From 50 to 249 persons employed,4.894263284381552e-05,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",I,250 persons employed or more,1.6390073639910888e-05,0.10112097136086018,1.0
