Data extracted on 10/11/2024 22:55:33 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Use table at basic prices [naio_10_cp1610__custom_13696232];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;31/10/2024 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Million euro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stock or flow;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geopolitical entity (reporting);;European Union - 27 countries (from 2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IND_USE (Labels);Total;;"Manufacture of food products; beverages and tobacco products";;Manufacture of textiles, wearing apparel, leather and related products;;"Manufacture of furniture; other manufacturing";;Sewerage, waste management, remediation activities;;"Motion picture, video, television programme production; programming and broadcasting activities";;Computer programming, consultancy, and information service activities;;Imputed rents of owner-occupied dwellings;;Real estate activities excluding imputed rents;;"Legal and accounting activities; activities of head offices; management consultancy activities";;"Other professional, scientific and technical activities; veterinary activities";;Security and investigation, service and landscape, office administrative and support activities;;Residential care activities and social work activities without accommodation;;"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities";;Final consumption expenditure;;Final consumption expenditure by government;;Final consumption expenditure by households;;Final consumption expenditure by non-profit organisations serving households (NPISH);;Gross capital formation;;Changes in inventories and acquisition less disposals of valuables;;Exports of goods and services;;Exports to EU members states;;Exports to non-member of the EU;;Exports to members of the euro area;;Exports to non-members of the euro area;;Gross fixed capital formation;;Total use;;Total final use;
Publishing services;93 446.31;;1 189.64;;256.91;;327.92;;718.27;;775.11;;5 715.75;;:;;855.86;;4 379.36;;1 144.03;;2 465.51;;1 646.75;;2 448.06;;59 262.78;;650.21;;58 550.58;;61.99;;43 513.62;;1 060.97;;80 816.35;;:;;80 816.35;;:;;:;;42 452.65;;277 039.06;;183 592.75;
"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services";78 189.71;;1 935.92;;61.7;;110.57;;88.42;;24 528.48;;5 353.78;;:;;576.92;;3 373.15;;346.15;;1 475.13;;212.09;;1 093.17;;50 749.59;;23 949.48;;26 163.96;;636.15;;15 139.79;;283.9;;9 300.66;;:;;9 300.66;;:;;:;;14 855.89;;153 379.75;;75 190.04;
Telecommunications services;206 613.61;;2 342.53;;565.57;;695.04;;1 125.3;;3 064.38;;9 163.04;;:;;3 081.26;;8 457.34;;1 569.77;;3 728.71;;2 222.14;;2 167.59;;134 777.23;;877.53;;133 890.33;;9.38;;190.31;;190.31;;15 717.15;;:;;15 717.15;;:;;:;;0;;357 298.28;;150 684.68;
"Computer programming, consultancy and related services; Information services";567 915.92;;4 767.77;;1 400.9;;1 673.05;;4 176.59;;4 559.69;;205 654.98;;:;;4 928.53;;37 052.02;;3 787.26;;9 256.27;;3 834.8;;6 770.14;;9 113.89;;1 649.84;;7 423.42;;40.63;;296 691.52;;1 525.93;;168 200.12;;:;;168 200.12;;:;;:;;295 165.6;;1 041 921.44;;474 005.53;
Financial services, except insurance and pension funding;572 095.55;;10 658.38;;2 309.82;;2 099.58;;2 227.02;;1 419.9;;12 072.42;;:;;97 901.14;;20 596.63;;2 385.92;;5 878.89;;3 318.96;;1 980.79;;157 729.89;;1 035.53;;156 614.98;;79.38;;74.02;;16.99;;74 424.92;;:;;74 424.92;;:;;:;;57.03;;804 324.38;;232 228.82;
Insurance, reinsurance and pension funding services, except compulsory social security;130 659.44;;2 919.61;;610.68;;729.18;;1 320.21;;268.75;;1 528.72;;:;;6 690.24;;3 855.38;;482.45;;1 732.87;;881.54;;321.27;;195 012.81;;1 223.18;;193 309.2;;480.43;;3 003.74;;391.85;;26 737.53;;:;;26 737.53;;:;;:;;2 611.9;;355 413.52;;224 754.09;
Services auxiliary to financial services and insurance services;298 724.73;;2 338.2;;1 207.03;;901.13;;420.77;;254.61;;1 471.95;;:;;1 743.6;;4 855.22;;577.77;;1 905.02;;403.19;;350.14;;26 587.4;;650.28;;25 936.25;;0.87;;1 410.82;;244.42;;12 866.3;;:;;12 866.3;;:;;:;;1 166.4;;339 589.25;;40 864.51;
Imputed rents of owner-occupied dwellings;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Real estate services excluding imputed rents;604 139.4;;8 985.12;;3 023.02;;3 154.35;;3 013.93;;3 365.32;;13 251.98;;:;;50 557.12;;30 498.47;;4 345.62;;15 933.74;;11 947.24;;4 150.96;;1 409 713.34;;25 061.88;;1 384 060.75;;590.7;;38 880.48;;97.62;;3 297.31;;:;;3 297.31;;:;;:;;38 782.86;;2 056 030.52;;1 451 891.12;
"Legal and accounting services; services of head offices; management consultancy services";946 696.11;;23 851.09;;3 739.94;;3 963.7;;5 363.16;;4 928.96;;38 732.77;;:;;34 585.59;;211 200.59;;10 820.34;;40 529.65;;6 032.58;;6 901.11;;27 012.18;;1 838.62;;24 659.45;;514.11;;41 024.81;;1 782.68;;95 641.75;;:;;95 641.75;;:;;:;;39 242.12;;1 110 374.85;;163 678.74;
"Architectural and engineering services; technical testing and analysis services";322 830.04;;4 426.61;;1 227.18;;1 190.91;;6 865.05;;699.68;;8 352.4;;:;;9 950.25;;11 302.4;;3 033.16;;8 544.83;;811.96;;1 355.37;;12 712.92;;2 058.46;;10 594.16;;60.29;;94 651.59;;2 205.26;;31 459.44;;:;;31 459.44;;:;;:;;92 446.33;;461 653.99;;138 823.95;
Scientific research and development services;35 686.28;;200.69;;100.98;;137.79;;37.14;;38.67;;761.95;;:;;19.79;;1 568.38;;55.01;;115.28;;56.95;;26.67;;47 919.21;;44 959.62;;43.57;;2 916.03;;368 324.71;;165.46;;43 648.71;;:;;43 648.71;;:;;:;;368 159.24;;495 578.9;;459 892.62;
Advertising and market research services;206 350.1;;20 081.32;;1 716.11;;2 535.29;;771.64;;2 487.74;;9 178.19;;:;;1 665.64;;10 862.76;;1 002.72;;2 324.86;;400.32;;2 697.8;;200.84;;39.55;;136.25;;25.04;;30.24;;23.29;;18 142.21;;:;;18 142.21;;:;;:;;6.95;;224 723.38;;18 373.29;
Other professional, scientific and technical services and veterinary services;149 932.29;;3 005.92;;1 625.51;;1 448.21;;1 282.45;;1 282.65;;6 664.87;;:;;3 083.46;;11 962.85;;8 593.62;;5 584.2;;1 442.61;;2 105.09;;28 300.51;;1 645.29;;26 621.39;;33.83;;1 012.95;;928.87;;15 828.34;;:;;15 828.34;;:;;:;;84.08;;195 074.08;;45 141.79;
Rental and leasing services;394 930.26;;8 121.83;;1 099.9;;2 885.38;;4 770.69;;9 988.29;;37 533.66;;:;;2 743.95;;17 579.21;;2 164.81;;9 470.06;;2 735.46;;2 436.9;;36 801.87;;1 292.25;;35 508.16;;1.46;;2 579.97;;10.62;;91 015.45;;:;;91 015.45;;:;;:;;2 569.35;;525 327.56;;130 397.29;
Employment services;211 384.3;;11 587.2;;1 380.61;;2 003.1;;2 454.04;;631.76;;5 612.34;;:;;1 665.52;;7 026.07;;873.22;;7 674.71;;3 516.48;;693.56;;4 408.95;;2 655.19;;1 729.38;;24.38;;236.76;;88.72;;3 988.97;;:;;3 988.97;;:;;:;;148.03;;220 018.98;;8 634.68;
Travel agency, tour operator and other reservation services and related services;26 812.97;;304.95;;180.29;;147.18;;209.96;;159.09;;443.12;;:;;213.53;;590.09;;110.74;;283.06;;187.54;;340.09;;52 147.69;;1 326.3;;50 709.22;;112.17;;358.45;;187.15;;6 403.73;;:;;6 403.73;;:;;:;;171.3;;85 722.83;;58 909.87;
"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services";538 895.83;;11 981.22;;2 648.36;;2 592.62;;9 559.27;;3 961.08;;17 173.41;;:;;25 805.41;;29 653.58;;4 474.81;;41 728.62;;8 371.2;;4 840.41;;38 060.21;;3 554.52;;34 440.62;;65.07;;12 028.73;;206.48;;27 697.32;;:;;27 697.32;;:;;:;;11 822.25;;616 682.08;;77 786.25;
"Public administration and defence services; compulsory social security services";103 357.4;;2 339.9;;399.99;;548.5;;1 228.73;;367.97;;1 811.91;;:;;3 744.26;;5 839.47;;1 436.05;;2 979.92;;2 043.58;;427.49;;1 150 045.49;;1 125 195.11;;24 422.76;;427.62;;4 253.31;;147.9;;10 502.25;;:;;10 502.25;;:;;:;;4 105.41;;1 268 158.45;;1 164 801.05;
Education services;107 215.89;;1 653.23;;279.83;;387.78;;606.59;;453.85;;4 521.9;;:;;1 287.96;;3 972.57;;697.06;;1 797.73;;1 938.65;;624.53;;752 516.53;;628 476;;95 520.99;;28 519.54;;295.75;;142.34;;1 008.61;;:;;1 008.61;;:;;:;;153.41;;861 036.78;;753 820.89;
Human health services;93 110.47;;411.72;;81.39;;98.24;;556.69;;78.14;;787.41;;:;;266.42;;657.18;;391.37;;1 216.43;;6 124.96;;166.66;;1 064 606.97;;849 982.96;;207 951.08;;6 672.92;;25.21;;17;;1 703.53;;:;;1 703.53;;:;;:;;8.2;;1 159 446.17;;1 066 335.7;
"Residential care services; social work services without accommodation";12 470.59;;9.91;;6.88;;7.17;;14.93;;7.82;;18.49;;:;;11.51;;19.92;;399.56;;829.71;;3 835.47;;327.32;;448 002.89;;276 796.15;;106 973.34;;64 233.39;;17.87;;8.74;;36.95;;:;;36.95;;:;;:;;9.13;;460 528.31;;448 057.71;
"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services";38 484.29;;532.86;;295.6;;77.29;;58.6;;2 778.47;;500.35;;:;;318.7;;857.37;;563.03;;487.86;;388.93;;14 435.25;;140 547.29;;56 770.01;;77 353.78;;6 423.5;;16 118.09;;11 794.79;;5 636.48;;:;;5 636.48;;:;;:;;4 323.31;;200 786.15;;162 301.86;
Sporting services and amusement and recreation services;54 289.63;;1 208.38;;306.75;;298.23;;243.85;;1 093.2;;700.71;;:;;663.3;;1 324.87;;414.32;;1 933.17;;487.65;;6 561.3;;93 536.61;;31 997.03;;46 336.77;;15 202.81;;49.45;;40.14;;923.07;;:;;923.07;;:;;:;;9.3;;148 798.76;;94 509.13;
Services furnished by membership organisations;41 007.75;;994.04;;186.65;;233.41;;614.76;;192.45;;1 315.77;;:;;543.88;;2 157.65;;384.77;;1 110.03;;824.75;;1 174.32;;100 858.73;;13 189.07;;9 455.62;;78 214.05;;17;;8.56;;218.3;;:;;218.3;;:;;:;;8.44;;142 101.78;;101 094.03;
Repair services of computers and personal and household goods;22 605.25;;774.44;;124.35;;371.16;;162.51;;361.77;;1 264.52;;:;;425.81;;851.41;;140.24;;338.24;;257.41;;130.71;;15 716.35;;12.75;;15 672.3;;31.29;;2 823.01;;-574.3;;1 506.32;;:;;1 506.32;;:;;:;;3 397.31;;42 650.92;;20 045.67;
Other personal services;35 389.07;;483.78;;92.6;;654.51;;559.44;;207.24;;446.48;;:;;244.48;;1 581.63;;290.58;;813.65;;1 790.1;;512.27;;136 876;;493.25;;136 298.27;;84.48;;71.16;;63.75;;1 798.1;;:;;1 798.1;;:;;:;;7.41;;174 134.33;;138 745.26;
"Services of households as employers; undifferentiated goods and services produced by households for own use";2 343.52;;0.06;;0.05;;0.05;;0.05;;0.05;;0.05;;:;;31.83;;0.05;;0.05;;26;;302.57;;39.73;;41 808.89;;2 102.19;;39 706.68;;0.01;;0.14;;0.07;;0.96;;:;;0.96;;:;;:;;0.07;;44 153.51;;41 809.99;
